name ,category ,deadline ,goal ,pledged ,status,backers ,
Safer Home,Hardware,3/7/2015 5:52,50000,0,failed,0,
Gizbee™ Unlimited Removable Storage for Your Travel Photos,Gadgets,25/3/2016 19:30,87000,2030,canceled,15,
Diposta - liberating people from their postal mailbox.,Web,23/8/2016 13:18,100000,141,failed,3,
Best Spray Bottle Ever - SureShot,Gadgets,7/3/2015 16:57,25000,3,failed,3,
Fishtacular - The Ultimate Fishing Tool (Canceled),Apps,25/5/2015 20:04,50000,11336,canceled,19,
Xi3: Help us Usher in the Post-PC Era,Technology,28/10/2012 8:33,250000,90771,failed,120,
Gantish - Online Reward Chart Creator for Parents,Software,16/9/2015 15:37,4000,282,failed,12,
Sellegg start up classified site,Web,20/3/2016 19:26,15000,25,failed,1,
Musical Light Suit,Hardware,28/6/2011 9:09,6000,20,failed,2,
Hangar 1 Foundation,Flight,18/10/2014 19:40,8500,1355,failed,4,
ODIN: Android 'Smart' Projector to Carry in Your Pocket,Hardware,8/7/2014 5:59,250000,268192,successful,561,
VoxCube - 8x8x8 RGB LED chainable cubes,Makerspaces,1/4/2016 0:15,129000,11601.5,failed,32,
The Forever Rechargeable Talking Super Capacitor Flashlight,Hardware,23/10/2013 23:36,2000,656,failed,18,
"VLC for the new Windows 8 User Experience (""Metro"")",Software,29/12/2012 13:54,40000,47056.86,successful,3080,
APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,Apps,21/12/2016 6:59,55000,1700,live,7,
Student Operated Fabrication Lab,Fabrication Tools,11/7/2012 13:55,5000,5000,successful,57,
A New Omni-Wheel. A mechanical innovation created for robots,Hardware,24/6/2016 16:19,3500,107,failed,7,
Inclusive Toolkit: tools for iOS & OS X app accessibility,Software,13/6/2015 3:00,5500,7157,successful,184,
XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,Sound,21/10/2016 10:00,25000,227673,successful,2278,
TimeChat™ (Canceled),Apps,24/10/2014 21:05,33000,1110,canceled,5,
Virtual Addiction Recovery Website & Phone App/ Saving life,Apps,28/6/2015 16:49,8500,0,failed,0,
College Spring Break Review,Web,28/3/2015 18:35,9000,0,failed,0,
CLEX - 4 in 1 Smart Device (Canceled),Gadgets,18/7/2016 22:56,50000,5650,canceled,22,
Stamped,Apps,22/1/2016 15:36,500,0,failed,0,
Croc2Pop - Where kids manage dad's digital addiction,Apps,20/8/2014 21:25,1000,0,failed,0,
MKP - The Smart & Versatile Touch Screen Keyboard For All,Gadgets,21/6/2015 22:40,1700000,970,canceled,4,
LAZER EDGE Series eBike - Starting at $499!,Technology,22/4/2016 23:50,10000,17771,successful,27,
